"123596800","123585743","МНСТиТ","Кафедра ""Методология науки, социальные теории и технологии""","3 уровень","5"
"123596897","352635381","ТОФКиС","Кафедра ""Теоретические основы физической культуры и спорта""","2 уровень","4"
"123596976","352635381","ЦВС","Кафедра ""Циклические виды спорта""","2 уровень","4"
"123597053","352635381","ГиСИ","Кафедра ""Гимнастика и спортивные игры""","2 уровень","4"
"123597130","352635381","ФВ","Кафедра ""Физическое воспитание""","2 уровень","4"
"123598535","123594889","ВИИиА","Кафедра ""Всеобщая история, историография и археология""","3 уровень","5"
"123599523","123594889","ЛиМПЛ","Кафедра ""Литература и методика преподавания литературы""","3 уровень","5"
"123599600","123594889","РЯиМПРЯ","Кафедра ""Русский язык и методика преподавания русского языка""","3 уровень","5"
"123599677","123594889","Журналистика","Кафедра ""Журналистика""","3 уровень","5"
"123599986","123594889","ИЯ","Кафедра ""Иностранные языки""","3 уровень","5"
"123600063","123594889","ПиП","Кафедра ""Перевод и переводоведение""","3 уровень","5"
"123600166","123594889","ИПиМПО","Кафедра ""История, право и методика правового обучения""","3 уровень","5"
"123600457","352739361","Гербарий","Гербарий им. И.И. Спрыгина",,"6"
"123600562","123586379","Биостанция","Биостанция",,"6"
"123601159","544860","ЭТИиП","Кафедра экономической теории, истории и политики","2 уровень","4"
"123606152","544518","ПД","Кафедра ""Правовые дисциплины""","2 уровень","4"
"132918943","105449681","Общежитие № 6 (бл 1)","Общежитие № 6 (блок 1)","3 уровень","6"
"132919021","14511001","Общежитие № 7","Общежитие № 7","2 уровень","4"
"135761758","31429660","ФМФ","Физико-математический факультет","1 уровень","3"
"135885628","118012647","ЗФПО","Заочный факультет педагогического образования","2 уровень","4"
"136238708","544698","ПО","Производственный отдел","2 уровень","4"
"136544041","118012647","ЦДПО","Центр дополнительного педагогического образования","2 уровень","4"
"136575127","14511001","Общежитие № 6 (бл 2)","Общежитие № 6 (блок 2)","2 уровень","4"
"136575382","544050","Учебный корпус № 13","Учебный корпус № 13","3 уровень","5"
"136575460","544050","Учебный корпус № 12","Учебный корпус № 12","3 уровень","5"
"136575538","544050","Учебный корпус № 14","Учебный корпус № 14","3 уровень","5"
"136575616","544050","Учебный корпус № 15","Учебный корпус № 15","3 уровень","5"
"136575695","544050","Учебный корпус № 16","Учебный корпус № 16","3 уровень","5"
"136575773","544050","Учебный корпус № 17","Учебный корпус № 17","3 уровень","5"
"136575851","544050","Учебный корпус № 18","Учебный корпус № 18","3 уровень","5"
"136575947","544050","Учебный корпус № 11","Учебный корпус № 11","3 уровень","5"
"137051783","352635381","Бассейн","Плавательный бассейн ""Дельфин""","2 уровень","4"
"137187125","355953801","Уч.О","Учебный  отдел","3 уровень","5"
"137409699","364401829","КИС","Кабинет интеллектуальной  собственности","2 уровень","4"
"137428101","355953801","ОМУиВП","Отдел миграционного учета и визовой поддержки","3 уровень","5"
"137428334","355953801","ОСАиКМР","Отдел социальной адаптации и культурно-массовой работы","3 уровень","5"
"137792949","355953962","ОСМП","Отдел сопровождения международных проектов","3 уровень","5"
"138966865","248457758","Сектор НИРС","Сектор научно-исследовательской работы студентов","2 уровень","4"
"142387146","31391769","Филиалы","Филиалы",,"2"
"142714456","14511001","Общежитие № 4 г","Общежитие № 4 г","2 уровень","4"
"142912077","105449681","Общежитие № 5 и","Общежитие № 5 и","3 уровень","6"
"147411974","105449681","Общежитие № 6 бл 1 г","Общежитие № 6 (блок 1) г","3 уровень","6"
"147412053","14511001","Общежитие № 6 бл 2 г","Общежитие № 6 (блок 2) г","2 уровень","4"
"161624869","362749473","УИ","Управление информатизации","1 уровень","3"
"161624948","161624869","ОРиППП","Отдел разработки и поддержки программных продуктов","2 уровень","4"
"161625025","161624869","ОАиТО","Отдел администрирования и технического обеспечения","2 уровень","4"
"161626355","544416","ЛРСАУ","Лаборатория разработки систем автоматизированного управления","3 уровень","5"
"161626481","161624948","ЛССАУ","Лаборатория сопровождения систем автоматизированного управления","3 уровень","5"
"161626684","161624948","ЛТОКТ","Лаборатория технического обслуживания компьютерной техники","3 уровень","5"
"161626768","161625025","ЛОУП","Лаборатория обеспечения учебного процесса","3 уровень","5"
"161626895","161625025","ЛОУППИ","Лаборатория обеспечения учебного процесса педагогического института","3 уровень","5"
"161627079","161624948","ЛЭДО","Лаборатория электронного документооборота","3 уровень","5"
"161627158","161624948","ЛЗПД","Лаборатория защиты персональных данных","3 уровень","5"
"161627434","544416","ЛЛВТиТ","Лаборатория локальной вычислительной сети и телефонии","3 уровень","5"
"163244025","78859500","Отдел ГО и ЧС","Отдел по делам гражданской обороны и чрезвычайных ситуаций","2 уровень","3"
"177579741","362749473","КМЦ ПГУ","Учебно-научный центр ""КМЦ ПГУ""","1 уровень","3"
"240704126","544566","Антропологическая ла","Антропологическая лаборатория","3 уровень","6"
"240923370","352729008","ИиМОИМ","Кафедра ""Информатика и методика обучения информатике и математике""","3 уровень","5"
"240963274","352729008","МО","Кафедра ""Математическое образование""","3 уровень","5"
"240990820","352729008","ОФиМОФ","Кафедра ""Общая физика и методика обучения физике""","3 уровень","5"
"241010673","123594889","ИРКиМПИ","Кафедра ""История России, краеведения и методики преподавания истории""","3 уровень","5"
"241019590","123585743","ТиМДНО","Кафедра ""Теория и методика дошкольного и начального образования""","3 уровень","5"
"241363081","123585743","ПиППО1","Кафедра ""Педагогика и психология профессионального образования""","3 уровень","5"
"241380453","544518","КПД","Кафедра ""Правоохранительная деятельность""","2 уровень","4"
"248457758","79158702","НИУ","Научно-инновационное управление","1 уровень","3"
"250503481","177579741","Стомат. поликлиника","Стоматологическая поликлиника","2 уровень","4"
"250503589","177579741","Поликлиническое отде","Поликлиническое отделение","2 уровень","4"
"252062469","544554","СЦ","Симуляционный центр","2 уровень","4"
"288244820","364401829","НИЦ1 СМЭ","Научно-исследовательский центр ""Суперкомпьютерное моделирование в электродинамике""","2 уровень","4"
"288245055","248457758","НОЦ1","Научно-образовательный центр ""Прогрессивные системы и технологии""","2 уровень","4"
"288246723","248457758","НОЦ2","Научно-образовательный центр ""Инновации в радиоэлектронной элементной базе""","2 уровень","4"
"288770520","364401829","НИЦ2 НАСОИУ","Научно-исследовательский центр ""Нелинейные и адаптивные системы обработки информации и управления""","2 уровень","4"
"288770599","364401829","НИЦ3 НПИМ","Научно-исследовательский центр ""Наноинженерия поверхности изделий машиностроения""","2 уровень","4"
